global step 1, epoch: 0, batch: 0, loss: 2.39137, loss_adv: 0.00000, speed: 0.06 step/s, lr: 0.0000199999
global step 2, epoch: 0, batch: 1, loss: 2.03226, loss_adv: 0.00000, speed: 0.07 step/s, lr: 0.0000199999
global step 3, epoch: 0, batch: 2, loss: 1.69321, loss_adv: 0.00000, speed: 0.09 step/s, lr: 0.0000199998
global step 4, epoch: 0, batch: 3, loss: 1.23183, loss_adv: 0.00000, speed: 0.12 step/s, lr: 0.0000199998
global step 5, epoch: 0, batch: 4, loss: 1.05146, loss_adv: 0.00000, speed: 0.14 step/s, lr: 0.0000199997
global step 6, epoch: 0, batch: 5, loss: 0.84165, loss_adv: 0.00000, speed: 0.15 step/s, lr: 0.0000199996
global step 7, epoch: 0, batch: 6, loss: 0.62564, loss_adv: 0.00000, speed: 0.17 step/s, lr: 0.0000199996
global step 8, epoch: 0, batch: 7, loss: 0.48158, loss_adv: 0.00000, speed: 0.19 step/s, lr: 0.0000199995
global step 9, epoch: 0, batch: 8, loss: 0.40843, loss_adv: 0.00000, speed: 0.20 step/s, lr: 0.0000199994
global step 10, epoch: 0, batch: 9, loss: 0.35823, loss_adv: 0.00000, speed: 0.21 step/s, lr: 0.0000199994
global step 11, epoch: 0, batch: 10, loss: 0.25790, loss_adv: 0.00000, speed: 0.22 step/s, lr: 0.0000199993
global step 12, epoch: 0, batch: 11, loss: 0.19302, loss_adv: 0.00000, speed: 0.24 step/s, lr: 0.0000199993
global step 13, epoch: 0, batch: 12, loss: 0.17941, loss_adv: 0.00000, speed: 0.25 step/s, lr: 0.0000199992
global step 14, epoch: 0, batch: 13, loss: 0.14795, loss_adv: 0.00000, speed: 0.27 step/s, lr: 0.0000199991
global step 15, epoch: 0, batch: 14, loss: 0.20671, loss_adv: 0.00000, speed: 0.28 step/s, lr: 0.0000199991
global step 16, epoch: 0, batch: 15, loss: 0.40041, loss_adv: 0.00000, speed: 0.29 step/s, lr: 0.0000199990
global step 17, epoch: 0, batch: 16, loss: 0.47379, loss_adv: 0.00000, speed: 0.30 step/s, lr: 0.0000199990
global step 18, epoch: 0, batch: 17, loss: 0.29708, loss_adv: 0.00000, speed: 0.32 step/s, lr: 0.0000199989
global step 19, epoch: 0, batch: 18, loss: 0.16099, loss_adv: 0.00000, speed: 0.33 step/s, lr: 0.0000199988
global step 20, epoch: 0, batch: 19, loss: 0.09775, loss_adv: 0.00000, speed: 0.34 step/s, lr: 0.0000199988
global step 21, epoch: 0, batch: 20, loss: 0.16639, loss_adv: 0.00000, speed: 0.35 step/s, lr: 0.0000199987
global step 22, epoch: 0, batch: 21, loss: 0.18351, loss_adv: 0.00000, speed: 0.36 step/s, lr: 0.0000199987
global step 23, epoch: 0, batch: 22, loss: 0.17161, loss_adv: 0.00000, speed: 0.37 step/s, lr: 0.0000199986
global step 24, epoch: 0, batch: 23, loss: 0.13475, loss_adv: 0.00000, speed: 0.38 step/s, lr: 0.0000199985
global step 25, epoch: 0, batch: 24, loss: 0.21525, loss_adv: 0.00000, speed: 0.38 step/s, lr: 0.0000199985
global step 26, epoch: 0, batch: 25, loss: 0.06591, loss_adv: 0.00000, speed: 0.39 step/s, lr: 0.0000199984
global step 27, epoch: 0, batch: 26, loss: 0.21928, loss_adv: 0.00000, speed: 0.40 step/s, lr: 0.0000199983
global step 28, epoch: 0, batch: 27, loss: 0.28848, loss_adv: 0.00000, speed: 0.41 step/s, lr: 0.0000199983
global step 29, epoch: 0, batch: 28, loss: 0.64118, loss_adv: 0.00000, speed: 0.42 step/s, lr: 0.0000199982
global step 30, epoch: 0, batch: 29, loss: 0.42385, loss_adv: 0.00000, speed: 0.42 step/s, lr: 0.0000199982
global step 31, epoch: 0, batch: 30, loss: 0.06646, loss_adv: 0.00000, speed: 0.43 step/s, lr: 0.0000199981
global step 32, epoch: 0, batch: 31, loss: 0.02853, loss_adv: 0.00000, speed: 0.44 step/s, lr: 0.0000199980
global step 33, epoch: 0, batch: 32, loss: 0.02811, loss_adv: 0.00000, speed: 0.45 step/s, lr: 0.0000199980
global step 34, epoch: 0, batch: 33, loss: 0.09328, loss_adv: 0.00000, speed: 0.45 step/s, lr: 0.0000199979
global step 35, epoch: 0, batch: 34, loss: 0.03873, loss_adv: 0.00000, speed: 0.46 step/s, lr: 0.0000199979
global step 36, epoch: 0, batch: 35, loss: 0.04006, loss_adv: 0.00000, speed: 0.47 step/s, lr: 0.0000199978
global step 37, epoch: 0, batch: 36, loss: 0.04222, loss_adv: 0.00000, speed: 0.47 step/s, lr: 0.0000199977
global step 38, epoch: 0, batch: 37, loss: 0.12162, loss_adv: 0.00000, speed: 0.48 step/s, lr: 0.0000199977
global step 39, epoch: 0, batch: 38, loss: 0.02201, loss_adv: 0.00000, speed: 0.49 step/s, lr: 0.0000199976
global step 40, epoch: 0, batch: 39, loss: 0.07936, loss_adv: 0.00000, speed: 0.49 step/s, lr: 0.0000199976
global step 41, epoch: 0, batch: 40, loss: 0.06634, loss_adv: 0.00000, speed: 0.50 step/s, lr: 0.0000199975
global step 42, epoch: 0, batch: 41, loss: 0.06001, loss_adv: 0.00000, speed: 0.50 step/s, lr: 0.0000199974
global step 43, epoch: 0, batch: 42, loss: 0.13261, loss_adv: 0.00000, speed: 0.51 step/s, lr: 0.0000199974
global step 44, epoch: 0, batch: 43, loss: 0.11998, loss_adv: 0.00000, speed: 0.51 step/s, lr: 0.0000199973
global step 45, epoch: 0, batch: 44, loss: 0.05701, loss_adv: 0.00000, speed: 0.52 step/s, lr: 0.0000199972
global step 46, epoch: 0, batch: 45, loss: 0.04174, loss_adv: 0.00000, speed: 0.52 step/s, lr: 0.0000199972
global step 47, epoch: 0, batch: 46, loss: 0.17033, loss_adv: 0.00000, speed: 0.53 step/s, lr: 0.0000199971
global step 48, epoch: 0, batch: 47, loss: 0.12818, loss_adv: 0.00000, speed: 0.53 step/s, lr: 0.0000199971
global step 49, epoch: 0, batch: 48, loss: 0.07577, loss_adv: 0.00000, speed: 0.54 step/s, lr: 0.0000199970
global step 50, epoch: 0, batch: 49, loss: 0.03582, loss_adv: 0.00000, speed: 0.54 step/s, lr: 0.0000199969
global step 51, epoch: 0, batch: 50, loss: 0.05344, loss_adv: 0.00000, speed: 0.54 step/s, lr: 0.0000199969
global step 52, epoch: 0, batch: 51, loss: 0.14740, loss_adv: 0.00000, speed: 0.55 step/s, lr: 0.0000199968
global step 53, epoch: 0, batch: 52, loss: 0.06973, loss_adv: 0.00000, speed: 0.55 step/s, lr: 0.0000199968
global step 54, epoch: 0, batch: 53, loss: 0.03640, loss_adv: 0.00000, speed: 0.56 step/s, lr: 0.0000199967
global step 55, epoch: 0, batch: 54, loss: 0.01159, loss_adv: 0.00000, speed: 0.56 step/s, lr: 0.0000199966
global step 56, epoch: 0, batch: 55, loss: 0.09221, loss_adv: 0.00000, speed: 0.56 step/s, lr: 0.0000199966
global step 57, epoch: 0, batch: 56, loss: 0.13413, loss_adv: 0.00000, speed: 0.57 step/s, lr: 0.0000199965
global step 58, epoch: 0, batch: 57, loss: 0.14474, loss_adv: 0.00000, speed: 0.57 step/s, lr: 0.0000199964
global step 59, epoch: 0, batch: 58, loss: 0.14201, loss_adv: 0.00000, speed: 0.58 step/s, lr: 0.0000199964
global step 60, epoch: 0, batch: 59, loss: 0.44546, loss_adv: 0.00000, speed: 0.58 step/s, lr: 0.0000199963
global step 61, epoch: 0, batch: 60, loss: 0.03675, loss_adv: 0.00000, speed: 0.58 step/s, lr: 0.0000199963
global step 62, epoch: 0, batch: 61, loss: 0.03630, loss_adv: 0.00000, speed: 0.59 step/s, lr: 0.0000199962
global step 63, epoch: 0, batch: 62, loss: 0.06625, loss_adv: 0.00000, speed: 0.59 step/s, lr: 0.0000199961
global step 64, epoch: 0, batch: 63, loss: 0.07808, loss_adv: 0.00000, speed: 0.59 step/s, lr: 0.0000199961
global step 65, epoch: 0, batch: 64, loss: 0.11887, loss_adv: 0.00000, speed: 0.59 step/s, lr: 0.0000199960
global step 66, epoch: 0, batch: 65, loss: 0.28561, loss_adv: 0.00000, speed: 0.60 step/s, lr: 0.0000199960
global step 67, epoch: 0, batch: 66, loss: 1.16479, loss_adv: 0.00000, speed: 0.60 step/s, lr: 0.0000199959
global step 68, epoch: 0, batch: 67, loss: 0.45585, loss_adv: 0.00000, speed: 0.60 step/s, lr: 0.0000199958
global step 69, epoch: 0, batch: 68, loss: 0.15593, loss_adv: 0.00000, speed: 0.61 step/s, lr: 0.0000199958
global step 70, epoch: 0, batch: 69, loss: 0.06291, loss_adv: 0.00000, speed: 0.61 step/s, lr: 0.0000199957
global step 71, epoch: 0, batch: 70, loss: 0.27036, loss_adv: 0.00000, speed: 0.61 step/s, lr: 0.0000199957
global step 72, epoch: 0, batch: 71, loss: 0.29115, loss_adv: 0.00000, speed: 0.62 step/s, lr: 0.0000199956
global step 73, epoch: 0, batch: 72, loss: 0.67197, loss_adv: 0.00000, speed: 0.62 step/s, lr: 0.0000199955
global step 74, epoch: 0, batch: 73, loss: 0.56422, loss_adv: 0.00000, speed: 0.62 step/s, lr: 0.0000199955
global step 75, epoch: 0, batch: 74, loss: 0.48205, loss_adv: 0.00000, speed: 0.62 step/s, lr: 0.0000199954
global step 76, epoch: 0, batch: 75, loss: 0.40075, loss_adv: 0.00000, speed: 0.63 step/s, lr: 0.0000199953
global step 77, epoch: 0, batch: 76, loss: 0.19564, loss_adv: 0.00000, speed: 0.63 step/s, lr: 0.0000199953
global step 78, epoch: 0, batch: 77, loss: 0.25903, loss_adv: 0.00000, speed: 0.63 step/s, lr: 0.0000199952
global step 79, epoch: 0, batch: 78, loss: 0.60570, loss_adv: 0.00000, speed: 0.63 step/s, lr: 0.0000199952
global step 80, epoch: 0, batch: 79, loss: 0.19533, loss_adv: 0.00000, speed: 0.64 step/s, lr: 0.0000199951
global step 81, epoch: 0, batch: 80, loss: 0.12034, loss_adv: 0.00000, speed: 0.64 step/s, lr: 0.0000199950
global step 82, epoch: 0, batch: 81, loss: 0.10981, loss_adv: 0.00000, speed: 0.64 step/s, lr: 0.0000199950
global step 83, epoch: 0, batch: 82, loss: 0.40883, loss_adv: 0.00000, speed: 0.64 step/s, lr: 0.0000199949
global step 84, epoch: 0, batch: 83, loss: 0.22222, loss_adv: 0.00000, speed: 0.64 step/s, lr: 0.0000199949
global step 85, epoch: 0, batch: 84, loss: 0.22995, loss_adv: 0.00000, speed: 0.65 step/s, lr: 0.0000199948
global step 86, epoch: 0, batch: 85, loss: 0.39316, loss_adv: 0.00000, speed: 0.65 step/s, lr: 0.0000199947
global step 87, epoch: 0, batch: 86, loss: 0.34672, loss_adv: 0.00000, speed: 0.65 step/s, lr: 0.0000199947
global step 88, epoch: 0, batch: 87, loss: 0.26898, loss_adv: 0.00000, speed: 0.65 step/s, lr: 0.0000199946
global step 89, epoch: 0, batch: 88, loss: 0.21321, loss_adv: 0.00000, speed: 0.66 step/s, lr: 0.0000199946
global step 90, epoch: 0, batch: 89, loss: 0.30750, loss_adv: 0.00000, speed: 0.66 step/s, lr: 0.0000199945
global step 91, epoch: 0, batch: 90, loss: 0.35912, loss_adv: 0.00000, speed: 0.66 step/s, lr: 0.0000199944
global step 92, epoch: 0, batch: 91, loss: 0.19323, loss_adv: 0.00000, speed: 0.66 step/s, lr: 0.0000199944
global step 93, epoch: 0, batch: 92, loss: 0.18041, loss_adv: 0.00000, speed: 0.66 step/s, lr: 0.0000199943
global step 94, epoch: 0, batch: 93, loss: 0.53369, loss_adv: 0.00000, speed: 0.66 step/s, lr: 0.0000199942
global step 95, epoch: 0, batch: 94, loss: 0.49949, loss_adv: 0.00000, speed: 0.67 step/s, lr: 0.0000199942
global step 96, epoch: 0, batch: 95, loss: 0.43100, loss_adv: 0.00000, speed: 0.67 step/s, lr: 0.0000199941
global step 97, epoch: 0, batch: 96, loss: 0.31660, loss_adv: 0.00000, speed: 0.67 step/s, lr: 0.0000199941
global step 98, epoch: 0, batch: 97, loss: 0.55965, loss_adv: 0.00000, speed: 0.67 step/s, lr: 0.0000199940
global step 99, epoch: 0, batch: 98, loss: 0.11409, loss_adv: 0.00000, speed: 0.67 step/s, lr: 0.0000199939
global step 100, epoch: 0, batch: 99, loss: 0.35877, loss_adv: 0.00000, speed: 0.68 step/s, lr: 0.0000199939
global step 101, epoch: 0, batch: 100, loss: 0.17679, loss_adv: 0.00000, speed: 0.68 step/s, lr: 0.0000199938
global step 102, epoch: 0, batch: 101, loss: 0.07902, loss_adv: 0.00000, speed: 0.68 step/s, lr: 0.0000199938
global step 103, epoch: 0, batch: 102, loss: 0.14281, loss_adv: 0.00000, speed: 0.68 step/s, lr: 0.0000199937
global step 104, epoch: 0, batch: 103, loss: 0.39284, loss_adv: 0.00000, speed: 0.68 step/s, lr: 0.0000199936
