global step 1, epoch: 0, batch: 0, loss: 1.76424, loss_adv: 1.79003, speed: 0.06 step/s, lr: 0.0000199999
global step 2, epoch: 0, batch: 1, loss: 1.48003, loss_adv: 1.52390, speed: 0.08 step/s, lr: 0.0000199999
global step 3, epoch: 0, batch: 2, loss: 1.15248, loss_adv: 1.20176, speed: 0.11 step/s, lr: 0.0000199998
global step 4, epoch: 0, batch: 3, loss: 0.91121, loss_adv: 0.94229, speed: 0.13 step/s, lr: 0.0000199998
global step 5, epoch: 0, batch: 4, loss: 0.74229, loss_adv: 0.77336, speed: 0.15 step/s, lr: 0.0000199997
global step 6, epoch: 0, batch: 5, loss: 0.61188, loss_adv: 0.63963, speed: 0.16 step/s, lr: 0.0000199996
global step 7, epoch: 0, batch: 6, loss: 0.44523, loss_adv: 0.47210, speed: 0.18 step/s, lr: 0.0000199996
global step 8, epoch: 0, batch: 7, loss: 0.37890, loss_adv: 0.40428, speed: 0.19 step/s, lr: 0.0000199995
global step 9, epoch: 0, batch: 8, loss: 0.29636, loss_adv: 0.32400, speed: 0.20 step/s, lr: 0.0000199994
global step 10, epoch: 0, batch: 9, loss: 0.26461, loss_adv: 0.28047, speed: 0.20 step/s, lr: 0.0000199994
global step 11, epoch: 0, batch: 10, loss: 0.21067, loss_adv: 0.22266, speed: 0.21 step/s, lr: 0.0000199993
global step 12, epoch: 0, batch: 11, loss: 0.16037, loss_adv: 0.16377, speed: 0.22 step/s, lr: 0.0000199993
global step 13, epoch: 0, batch: 12, loss: 0.13707, loss_adv: 0.14352, speed: 0.23 step/s, lr: 0.0000199992
global step 14, epoch: 0, batch: 13, loss: 0.12338, loss_adv: 0.12836, speed: 0.24 step/s, lr: 0.0000199991
global step 15, epoch: 0, batch: 14, loss: 0.17902, loss_adv: 0.19026, speed: 0.25 step/s, lr: 0.0000199991
global step 16, epoch: 0, batch: 15, loss: 0.38558, loss_adv: 0.39202, speed: 0.26 step/s, lr: 0.0000199990
global step 17, epoch: 0, batch: 16, loss: 0.46335, loss_adv: 0.46799, speed: 0.26 step/s, lr: 0.0000199990
global step 18, epoch: 0, batch: 17, loss: 0.29444, loss_adv: 0.29834, speed: 0.27 step/s, lr: 0.0000199989
global step 19, epoch: 0, batch: 18, loss: 0.15700, loss_adv: 0.16086, speed: 0.28 step/s, lr: 0.0000199988
global step 20, epoch: 0, batch: 19, loss: 0.09916, loss_adv: 0.10560, speed: 0.28 step/s, lr: 0.0000199988
global step 21, epoch: 0, batch: 20, loss: 0.16767, loss_adv: 0.16986, speed: 0.29 step/s, lr: 0.0000199987
global step 22, epoch: 0, batch: 21, loss: 0.18829, loss_adv: 0.18991, speed: 0.29 step/s, lr: 0.0000199987
global step 23, epoch: 0, batch: 22, loss: 0.17348, loss_adv: 0.17588, speed: 0.30 step/s, lr: 0.0000199986
global step 24, epoch: 0, batch: 23, loss: 0.13730, loss_adv: 0.13882, speed: 0.30 step/s, lr: 0.0000199985
global step 25, epoch: 0, batch: 24, loss: 0.21365, loss_adv: 0.21465, speed: 0.31 step/s, lr: 0.0000199985
global step 26, epoch: 0, batch: 25, loss: 0.06520, loss_adv: 0.06669, speed: 0.31 step/s, lr: 0.0000199984
global step 27, epoch: 0, batch: 26, loss: 0.21728, loss_adv: 0.21837, speed: 0.31 step/s, lr: 0.0000199983
global step 28, epoch: 0, batch: 27, loss: 0.28790, loss_adv: 0.28835, speed: 0.32 step/s, lr: 0.0000199983
global step 29, epoch: 0, batch: 28, loss: 0.63277, loss_adv: 0.63824, speed: 0.32 step/s, lr: 0.0000199982
global step 30, epoch: 0, batch: 29, loss: 0.41641, loss_adv: 0.42184, speed: 0.33 step/s, lr: 0.0000199982
global step 31, epoch: 0, batch: 30, loss: 0.06770, loss_adv: 0.06978, speed: 0.33 step/s, lr: 0.0000199981
global step 32, epoch: 0, batch: 31, loss: 0.03251, loss_adv: 0.03371, speed: 0.33 step/s, lr: 0.0000199980
global step 33, epoch: 0, batch: 32, loss: 0.03134, loss_adv: 0.03483, speed: 0.33 step/s, lr: 0.0000199980
global step 34, epoch: 0, batch: 33, loss: 0.09537, loss_adv: 0.09810, speed: 0.34 step/s, lr: 0.0000199979
global step 35, epoch: 0, batch: 34, loss: 0.04326, loss_adv: 0.04507, speed: 0.34 step/s, lr: 0.0000199979
global step 36, epoch: 0, batch: 35, loss: 0.04146, loss_adv: 0.04401, speed: 0.34 step/s, lr: 0.0000199978
global step 37, epoch: 0, batch: 36, loss: 0.04365, loss_adv: 0.04543, speed: 0.35 step/s, lr: 0.0000199977
global step 38, epoch: 0, batch: 37, loss: 0.12147, loss_adv: 0.12224, speed: 0.35 step/s, lr: 0.0000199977
global step 39, epoch: 0, batch: 38, loss: 0.02153, loss_adv: 0.02261, speed: 0.35 step/s, lr: 0.0000199976
global step 40, epoch: 0, batch: 39, loss: 0.07735, loss_adv: 0.07811, speed: 0.35 step/s, lr: 0.0000199976
global step 41, epoch: 0, batch: 40, loss: 0.06494, loss_adv: 0.06690, speed: 0.35 step/s, lr: 0.0000199975
global step 42, epoch: 0, batch: 41, loss: 0.05871, loss_adv: 0.05837, speed: 0.36 step/s, lr: 0.0000199974
global step 43, epoch: 0, batch: 42, loss: 0.12996, loss_adv: 0.13165, speed: 0.36 step/s, lr: 0.0000199974
global step 44, epoch: 0, batch: 43, loss: 0.11740, loss_adv: 0.11942, speed: 0.36 step/s, lr: 0.0000199973
global step 45, epoch: 0, batch: 44, loss: 0.05691, loss_adv: 0.05794, speed: 0.36 step/s, lr: 0.0000199972
global step 46, epoch: 0, batch: 45, loss: 0.04155, loss_adv: 0.04257, speed: 0.36 step/s, lr: 0.0000199972
global step 47, epoch: 0, batch: 46, loss: 0.17276, loss_adv: 0.17337, speed: 0.36 step/s, lr: 0.0000199971
global step 48, epoch: 0, batch: 47, loss: 0.12828, loss_adv: 0.12758, speed: 0.36 step/s, lr: 0.0000199971
global step 49, epoch: 0, batch: 48, loss: 0.07358, loss_adv: 0.07446, speed: 0.37 step/s, lr: 0.0000199970
global step 50, epoch: 0, batch: 49, loss: 0.03466, loss_adv: 0.03520, speed: 0.37 step/s, lr: 0.0000199969
global step 51, epoch: 0, batch: 50, loss: 0.05294, loss_adv: 0.05296, speed: 0.37 step/s, lr: 0.0000199969
global step 52, epoch: 0, batch: 51, loss: 0.14505, loss_adv: 0.14542, speed: 0.37 step/s, lr: 0.0000199968
global step 53, epoch: 0, batch: 52, loss: 0.06906, loss_adv: 0.07086, speed: 0.37 step/s, lr: 0.0000199968
global step 54, epoch: 0, batch: 53, loss: 0.03580, loss_adv: 0.03618, speed: 0.37 step/s, lr: 0.0000199967
global step 55, epoch: 0, batch: 54, loss: 0.01120, loss_adv: 0.01225, speed: 0.37 step/s, lr: 0.0000199966
global step 56, epoch: 0, batch: 55, loss: 0.09288, loss_adv: 0.09371, speed: 0.37 step/s, lr: 0.0000199966
global step 57, epoch: 0, batch: 56, loss: 0.13426, loss_adv: 0.13493, speed: 0.38 step/s, lr: 0.0000199965
global step 58, epoch: 0, batch: 57, loss: 0.14392, loss_adv: 0.14522, speed: 0.38 step/s, lr: 0.0000199964
global step 59, epoch: 0, batch: 58, loss: 0.14259, loss_adv: 0.14317, speed: 0.38 step/s, lr: 0.0000199964
global step 60, epoch: 0, batch: 59, loss: 0.44316, loss_adv: 0.44492, speed: 0.38 step/s, lr: 0.0000199963
global step 61, epoch: 0, batch: 60, loss: 0.03452, loss_adv: 0.03531, speed: 0.38 step/s, lr: 0.0000199963
global step 62, epoch: 0, batch: 61, loss: 0.03473, loss_adv: 0.03630, speed: 0.38 step/s, lr: 0.0000199962
global step 63, epoch: 0, batch: 62, loss: 0.06570, loss_adv: 0.06652, speed: 0.38 step/s, lr: 0.0000199961
global step 64, epoch: 0, batch: 63, loss: 0.07679, loss_adv: 0.07723, speed: 0.38 step/s, lr: 0.0000199961
global step 65, epoch: 0, batch: 64, loss: 0.11811, loss_adv: 0.11886, speed: 0.38 step/s, lr: 0.0000199960
global step 66, epoch: 0, batch: 65, loss: 0.28761, loss_adv: 0.28708, speed: 0.38 step/s, lr: 0.0000199960
global step 67, epoch: 0, batch: 66, loss: 1.17133, loss_adv: 1.17331, speed: 0.39 step/s, lr: 0.0000199959
global step 68, epoch: 0, batch: 67, loss: 0.45874, loss_adv: 0.45960, speed: 0.39 step/s, lr: 0.0000199958
global step 69, epoch: 0, batch: 68, loss: 0.15449, loss_adv: 0.15590, speed: 0.39 step/s, lr: 0.0000199958
global step 70, epoch: 0, batch: 69, loss: 0.06233, loss_adv: 0.06297, speed: 0.39 step/s, lr: 0.0000199957
global step 71, epoch: 0, batch: 70, loss: 0.27056, loss_adv: 0.27102, speed: 0.39 step/s, lr: 0.0000199957
global step 72, epoch: 0, batch: 71, loss: 0.29019, loss_adv: 0.29196, speed: 0.39 step/s, lr: 0.0000199956
global step 73, epoch: 0, batch: 72, loss: 0.67340, loss_adv: 0.67622, speed: 0.39 step/s, lr: 0.0000199955
global step 74, epoch: 0, batch: 73, loss: 0.56324, loss_adv: 0.56576, speed: 0.39 step/s, lr: 0.0000199955
global step 75, epoch: 0, batch: 74, loss: 0.48248, loss_adv: 0.48495, speed: 0.39 step/s, lr: 0.0000199954
global step 76, epoch: 0, batch: 75, loss: 0.39715, loss_adv: 0.39926, speed: 0.39 step/s, lr: 0.0000199953
global step 77, epoch: 0, batch: 76, loss: 0.19610, loss_adv: 0.19658, speed: 0.39 step/s, lr: 0.0000199953
