id	emotion
34170_0002_A_12	0.011987783014774323,0.05481646955013275,0.06616100668907166,0.010203788056969643,0.0357871912419796,0.015688110142946243
34170_0002_A_14	0.0020980576518923044,0.016080215573310852,0.025137294083833694,0.01550577487796545,0.01844830811023712,0.011879914440214634
34170_0003_A_16	0.006747431121766567,0.05992339551448822,0.03981748968362808,0.03660706430673599,0.039981160312891006,0.008327452465891838
34170_0003_A_17	0.004186417441815138,0.04855353385210037,0.03619745373725891,0.10380799323320389,0.06377924978733063,0.02360011450946331
34170_0003_A_18	0.02105211839079857,0.03176657110452652,0.014170901849865913,0.17319312691688538,0.17617636919021606,0.03445345535874367
34170_0003_A_20	0.00913025252521038,0.029767518863081932,0.037634991109371185,0.026312924921512604,0.19701853394508362,0.13280704617500305
34170_0003_A_21	0.007127318065613508,0.02648855373263359,0.036989033222198486,0.01765896938741207,0.07193173468112946,0.061921365559101105
34170_0004_A_24	0.004913479555398226,0.03765518218278885,0.05925381928682327,0.013592254370450974,0.026503968983888626,0.004863160662353039
34170_0004_A_25	0.019019585102796555,0.13789819180965424,0.012993242591619492,0.01164302323013544,0.013828519731760025,0.03948895260691643
34170_0004_A_26	0.020541232079267502,0.10916213691234589,0.03115794248878956,0.014947865158319473,0.027892805635929108,0.007945237681269646
34170_0004_A_27	0.003624262986704707,0.023175669834017754,0.0966937243938446,0.02227909490466118,0.04593903571367264,0.005081634037196636
34170_0004_A_28	0.016854379326105118,0.03176117688417435,0.016599062830209732,0.08432868868112564,0.08891341835260391,0.0252370722591877
34170_0005_A_31	0.007969177328050137,0.13925038278102875,0.024045102298259735,0.008976535871624947,0.007701556198298931,0.0051640053279697895
34170_0005_A_33	0.0072900159284472466,0.07600509375333786,0.054670579731464386,0.0209592767059803,0.04962237924337387,0.007271960377693176
34170_0005_A_35	0.01846707984805107,0.08564068377017975,0.10450859367847443,0.06349390745162964,0.08971694856882095,0.03772954270243645
34170_0004_A_29	0.014153072610497475,0.03848113864660263,0.0213511623442173,0.08764861524105072,0.18338406085968018,0.050952278077602386
34170_0005_A_34	0.014680320397019386,0.04876773804426193,0.045195721089839935,0.1377866566181183,0.02811145782470703,0.014304491691291332
34170_0005_A_36	0.008737435564398766,0.03868322819471359,0.018211357295513153,0.06036998704075813,0.061835482716560364,0.023000050336122513
34170_0005_A_32	0.003783955704420805,0.024062247946858406,0.006302985828369856,0.015611352398991585,0.021456748247146606,0.018086742609739304
