id	emotion
34170_0002_A_12	0.004628161899745464,0.02315468154847622,0.03770459443330765,0.03536616265773773,0.05899801477789879,0.007400653325021267
34170_0002_A_14	0.0021483798045665026,0.021440880373120308,0.058613091707229614,0.03332047536969185,0.06608451157808304,0.026116911321878433
34170_0003_A_16	0.016628967598080635,0.039841845631599426,0.03451738506555557,0.03949699550867081,0.06798402220010757,0.006189585663378239
34170_0003_A_17	0.00665272306650877,0.02546463906764984,0.038414426147937775,0.05869235843420029,0.04116445779800415,0.018091896548867226
34170_0003_A_18	0.0019753258675336838,0.0254678875207901,0.0386320985853672,0.06912301480770111,0.05842979997396469,0.016543857753276825
34170_0003_A_20	0.005267033353447914,0.051027875393629074,0.029929861426353455,0.034418296068906784,0.054213859140872955,0.1733071506023407
34170_0003_A_21	0.009458394721150398,0.022617969661951065,0.03482723981142044,0.017458587884902954,0.046376701444387436,0.02954552322626114
34170_0004_A_24	0.003308613784611225,0.023228146135807037,0.02316993847489357,0.017504142597317696,0.05312930792570114,0.011025658808648586
34170_0004_A_25	0.10993459820747375,0.11844861507415771,0.02114293910562992,0.026623111218214035,0.02781844139099121,0.012173304334282875
34170_0004_A_26	0.060892120003700256,0.06148465722799301,0.043367352336645126,0.02997257560491562,0.05048210173845291,0.004781618248671293
34170_0004_A_27	0.003077128902077675,0.02314954251050949,0.03971114009618759,0.014079593122005463,0.044918242841959,0.01204032264649868
34170_0004_A_28	0.03120773658156395,0.03576517850160599,0.013235887512564659,0.08337581157684326,0.041922129690647125,0.027934841811656952
34170_0005_A_31	0.019306056201457977,0.1713101714849472,0.11808913946151733,0.01403689756989479,0.04712304845452309,0.013033895753324032
34170_0005_A_33	0.0097427973523736,0.13242387771606445,0.0182989202439785,0.03057648241519928,0.018301548436284065,0.01601109839975834
34170_0005_A_35	0.006498183123767376,0.021110177040100098,0.06334471702575684,0.16192279756069183,0.06893645226955414,0.01838398538529873
34170_0004_A_29	0.015991806983947754,0.006635699421167374,0.008099714294075966,0.06960228085517883,0.026285842061042786,0.008836165070533752
34170_0005_A_34	0.028216876089572906,0.06781730055809021,0.031722959131002426,0.08972974121570587,0.020615579560399055,0.00889711081981659
34170_0005_A_36	0.00667534489184618,0.022403815761208534,0.009406430646777153,0.053782396018505096,0.03710572049021721,0.039284758269786835
34170_0005_A_32	0.004312641452997923,0.014498168602585793,0.0033455591183155775,0.012586729601025581,0.014896485954523087,0.01872711442410946
34170_0007_A_42	0.005782418884336948,0.016054023057222366,0.014664656482636929,0.0118691585958004,0.031196828931570053,0.013691204600036144
34170_0007_A_43	0.0021552618127316236,0.009654870256781578,0.04051443561911583,0.05676596611738205,0.04771481081843376,0.009722569026052952
34170_0007_A_44	0.0024475075770169497,0.019218601286411285,0.01623552106320858,0.07518631964921951,0.02109687775373459,0.7399358749389648
34170_0007_A_45	0.0048081777058541775,0.1802923083305359,0.2225697934627533,0.021908685564994812,0.0919967070221901,0.019233284518122673
34170_0007_A_46	0.009157007560133934,0.6187989115715027,0.041002076119184494,0.04501689225435257,0.03295718878507614,0.0746290534734726
34170_0007_A_47	0.007700339891016483,0.01494680903851986,0.0074626486748456955,0.0778961256146431,0.02280123345553875,0.018559250980615616
34170_0008_A_49	0.0037164255045354366,0.02109513059258461,0.014706507325172424,0.019842473790049553,0.05385851114988327,0.0055580586194992065
34170_0008_A_50	0.00947690848261118,0.027542654424905777,0.027270248159766197,0.007081282325088978,0.028208080679178238,0.005914738401770592
34170_0008_A_51	0.015839364379644394,0.33402448892593384,0.04816070944070816,0.031980063766241074,0.02778676152229309,0.02661764994263649
34170_0009_A_54	0.009082844480872154,0.013109607622027397,0.008285501040518284,0.011399859562516212,0.024614617228507996,0.023111116141080856
34170_0009_A_56	0.0127299465239048,0.042974717915058136,0.009929162450134754,0.12463897466659546,0.014510301873087883,0.012329613789916039
34170_0009_A_58	0.007628131657838821,0.023996446281671524,0.009675529785454273,0.01733270101249218,0.013673831708729267,0.008540615439414978
34170_0009_A_59	0.0019147909479215741,0.008650935254991055,0.022916002199053764,0.04132135584950447,0.01662079244852066,0.00803553219884634
34170_0009_A_60	0.003069184720516205,0.12193997204303741,0.03590032458305359,0.04550733417272568,0.025259921327233315,0.010092534124851227
34170_0009_A_61	0.004330896306782961,0.09233927726745605,0.0932077094912529,0.06199495866894722,0.044818006455898285,0.033162616193294525
34170_0009_A_62	0.004343549255281687,0.07280226051807404,0.043648891150951385,0.021719060838222504,0.030304886400699615,0.0040451944805681705
34170_0009_A_63	0.008631686680018902,0.17205409705638885,0.033535849303007126,0.024834491312503815,0.02092663384974003,0.008471531793475151
34170_0009_A_64	0.00856708362698555,0.0584615096449852,0.04716571420431137,0.030014561489224434,0.017191197723150253,0.022720517590641975
34170_0010_A_66	0.0037104091607034206,0.018072141334414482,0.014172693714499474,0.018714021891355515,0.01209641620516777,0.002715347334742546
34170_0010_A_67	0.01641823910176754,0.04888809844851494,0.03330487757921219,0.04180742800235748,0.12245549261569977,0.017078042030334473
34170_0011_A_71	0.011723955161869526,0.027856076136231422,0.011970710009336472,0.030260486528277397,0.5760563611984253,0.0035690192598849535
34170_0011_A_74	0.00881969090551138,0.011409119702875614,0.021592862904071808,0.04027888923883438,0.02907957136631012,0.01406925916671753
