id	emotion
34170_0002_A_12	0.006913943837086358,0.043055685237050056,0.049090442558129624,0.021435872962077458,0.041811928153038025,0.00888045271858573
34170_0002_A_14	0.0019882358610630035,0.029673463975389797,0.04880765949686368,0.02206912791977326,0.03377182160814603,0.018778967050214607
34170_0003_A_16	0.00989334223171075,0.06554396698872247,0.031069069479902584,0.030643257622917492,0.05056788896520932,0.007759853266179562
34170_0003_A_17	0.006599694024771452,0.053589257101217896,0.03310114021102587,0.07029946148395538,0.043536969770987824,0.02084058274825414
34170_0003_A_18	0.008785069454461336,0.032315527399381,0.04201104926566283,0.11870103081067403,0.10275729745626448,0.01841444242745638
34170_0003_A_20	0.0061287363059818745,0.07289170287549496,0.027787849927941956,0.023338887219627697,0.09611007074515025,0.16769653062025705
34170_0003_A_21	0.007378054006646076,0.036708970864613846,0.04798786590496699,0.014960493581990399,0.06873981778820355,0.03951225678126017
34170_0004_A_24	0.004004592852046092,0.0348817432920138,0.056112678100665406,0.012941845382253328,0.04463745281100273,0.007254312125345071
34170_0004_A_25	0.058027123411496476,0.1613592803478241,0.021624021853009857,0.021162351282934345,0.02141440783937772,0.0203108803058664
34170_0004_A_26	0.03583439191182454,0.13970756779114404,0.049689165626962975,0.01845126785337925,0.0340094156563282,0.006841943133622407
34170_0004_A_27	0.003073260808984438,0.0339172575622797,0.06671353677908579,0.014889134404559929,0.04111863921085993,0.007380743666241566
34170_0004_A_28	0.019352820081015427,0.03731542080640793,0.01309318095445633,0.06945092976093292,0.05062366152803103,0.023147351418932278
34170_0005_A_31	0.011641704477369784,0.13778682549794513,0.06124072397748628,0.011281155049800873,0.02362347673624754,0.008280310003707806
34170_0005_A_33	0.0070922936623295145,0.14874407400687534,0.0389303242166837,0.0232223408917586,0.032437666008869805,0.011402696060637632
34170_0005_A_35	0.012845189310610294,0.06433577835559845,0.1275869905948639,0.1114268253246943,0.06783603876829147,0.02582654170691967
34170_0004_A_29	0.013721631218989689,0.04538569723566373,0.024244923765460648,0.06252657435834408,0.08136113733053207,0.024865861361225445
34170_0005_A_34	0.018001886395116646,0.12872652957836786,0.04082181304693222,0.09926553070545195,0.02021961845457554,0.010504622322817642
34170_0005_A_36	0.00759770255535841,0.04430279694497585,0.012976920853058495,0.04865005736549695,0.0395219586789608,0.02471059809128443
34170_0005_A_32	0.004864275145033995,0.03626643493771553,0.008388952740157643,0.012949217421313126,0.018686774497230847,0.01537007497002681
34170_0007_A_42	0.00843243207782507,0.024659017721811928,0.016651950466136135,0.014114470531543095,0.01975272689014673,0.008916857341925303
34170_0007_A_43	0.0025132411004354554,0.020919229214390118,0.029456324875354763,0.04367423802614212,0.03049640078097582,0.005810862174257636
34170_0007_A_44	0.005730214295908808,0.0433183138569196,0.06662879325449467,0.0848992330332597,0.053525784363349274,0.7291484971841176
34170_0007_A_45	0.004475482739508152,0.2006443937619527,0.2701406826575597,0.025128711635867752,0.05085858268042405,0.013278745114803312
34170_0007_A_46	0.01334458744774262,0.7468598882357279,0.06201034660140673,0.02921387366950512,0.027932059640685715,0.06173574055234591
34170_0007_A_47	0.005687446023027102,0.03451352007687092,0.01579153724014759,0.09691327313582102,0.016632392071187496,0.009734777578463156
34170_0008_A_49	0.0036443364030371104,0.02255203388631344,0.013327211141586304,0.01992570546766122,0.032332789773742356,0.005037502773726979
34170_0008_A_50	0.008135422443350155,0.02763044647872448,0.03636118024587631,0.007470784864077965,0.02601367048919201,0.0041558185281852875
34170_0008_A_51	0.012927440460771322,0.4518707394599914,0.06615888575712839,0.017419472026328247,0.01893350388854742,0.01994232398768266
34170_0009_A_54	0.007193056556085745,0.025019299859801926,0.006192672532051802,0.0178082554290692,0.018753378962477047,0.018190312199294567
34170_0009_A_56	0.007491757472356159,0.05519903699556986,0.011656812392175198,0.06704911217093468,0.015933885859946408,0.01073414118339618
34170_0009_A_58	0.010599186178296803,0.02786320447921753,0.00762518976504604,0.011120200312385956,0.0183783828591307,0.015999184610942997
34170_0009_A_59	0.0021838408817226687,0.01973615059008201,0.028056132296721138,0.035305711130301155,0.011345857754349709,0.0067788735032081595
34170_0009_A_60	0.0032823650787274037,0.19866874317328134,0.03775300954778989,0.03231538335482279,0.023133461674054463,0.007870065048336983
34170_0009_A_61	0.003549005991468827,0.09144276628891626,0.10062756141026814,0.06281682848930359,0.05700797587633133,0.048910802230238914
34170_0009_A_62	0.003818564349785447,0.13873247802257538,0.08858674019575119,0.014323963162799675,0.02325676505764325,0.0029276734373221793
34170_0009_A_63	0.005363571302344401,0.27144654591878253,0.044116580237944916,0.016523859153191246,0.01792628007630507,0.006056835098812977
34170_0009_A_64	0.006831059930846095,0.03800134422878424,0.03428090550005436,0.028354853702088196,0.013899000672002632,0.016320657761146624
34170_0010_A_66	0.0040420085812608395,0.01859622448682785,0.021936419109503426,0.02498446280757586,0.012009472275773684,0.0040389651743074255
34170_0010_A_67	0.012183158348004021,0.06450604026516278,0.03320067251722018,0.05250692119201024,0.07305630420645078,0.01485801270852486
34170_0011_A_71	0.011165113809208075,0.03619859553873539,0.025071995332837105,0.030977367113033928,0.6216540733973185,0.003994999453425407
34170_0011_A_74	0.0065549251933892565,0.02475112893929084,0.01898837834596634,0.025761881843209267,0.024516432235638298,0.01233811272929112
34170_0011_A_76	0.009877790852139393,0.0695551335811615,0.02650642953813076,0.15832139551639554,0.07830215618014336,0.01686052201936642
34170_0011_A_78	0.017453319082657494,0.10401402910550435,0.013220191622773806,0.02453853003680706,0.007067884163310129,0.01148757090171178
34170_0011_A_80	0.019178039083878197,0.04736521343390147,0.021330010766784348,0.019500409563382465,0.018801324690381687,0.005667762054751316
34170_0011_A_81	0.004774202282230059,0.12821413576602936,0.2622468074162801,0.037476763129234314,0.04838718846440315,0.013912567558387915
34170_0012_A_83	0.0033121299929916854,0.03402517052988211,0.01036478579044342,0.0214243121445179,0.027562000478307404,0.011948649461070696
34170_0012_A_84	0.0053196333659191915,0.030847702485819656,0.028868358582258224,0.020455919206142426,0.024781877795855202,0.003237266559153795
34170_0012_A_85	0.0045339083299040794,0.02768571426471074,0.026609591518839196,0.024444794903198876,0.02231661168237527,0.003963567161311706
34170_0012_A_86	0.003822942652429143,0.031068674599130944,0.029876690978805222,0.04395498087008794,0.02369244086245696,0.004536824766546488
34170_0012_A_87	0.0046149990521371365,0.02235442462066809,0.026745988056063652,0.020860481386383373,0.01572851650416851,0.003915982165684302
34170_0012_A_88	0.0038388738563905154,0.03181561765571435,0.017539512986938156,0.014923711617787678,0.01599723007529974,0.006064954058577616
34170_0012_A_89	0.004372772993519902,0.022546476994951565,0.022718341400225956,0.01858523239692052,0.014704348829885323,0.003917124199991425
34170_0012_A_90	0.004336194678520163,0.45222328603267664,0.05207489803433418,0.090816929936409,0.02469742049773534,0.022352470085024834
34170_0012_A_92	0.008866308256983757,0.3687488039334615,0.07126917193333307,0.13377862175305683,0.03383201857407887,0.021855976432561874
34170_0012_A_94	0.0035081907020260887,0.13996086766322452,0.04364918482800324,0.125813789665699,0.020935125028093655,0.03942727235456307
34170_0012_A_96	0.006335319175074497,0.21908678114414215,0.08637094249327976,0.03176256641745567,0.021587044621507324,0.023512184619903564
34170_0012_A_98	0.00525047273064653,0.3287147283554077,0.13188721736272174,0.0858137458562851,0.02326890639960766,0.01608065826197465
34170_0012_A_99	0.003227540059015155,0.13289990896979967,0.022972074958185353,0.04174043921132882,0.024413263425230976,0.01891131574908892
34170_0012_A_100	0.008570159475008646,0.15201609085003534,0.1844686319430669,0.19764964779218036,0.0793554534514745,0.019204292446374893
34170_0012_A_101	0.009194171521812677,0.11070432762304941,0.01673838682472706,0.04284611716866493,0.05443841715653737,0.04813320189714432
