id	emotion
34170_0002_A_12	0.004125886596739292,0.0511959046125412,0.04340572655200958,0.018737668171525,0.030650578439235687,0.0035525946877896786
34170_0002_A_14	0.0017182701267302036,0.051499295979738235,0.06267259269952774,0.017381133511662483,0.016782645136117935,0.01834007538855076
34170_0003_A_16	0.006303627975285053,0.0968666598200798,0.0188723336905241,0.01582571305334568,0.043738484382629395,0.008762521669268608
34170_0003_A_17	0.008959941565990448,0.0867495983839035,0.024691540747880936,0.048398032784461975,0.025667201727628708,0.020829737186431885
34170_0003_A_18	0.003327764105051756,0.039712123572826385,0.07323014736175537,0.11378695070743561,0.07366572320461273,0.004246014170348644
34170_0003_A_20	0.003988923039287329,0.13787971436977386,0.015798697248101234,0.009285440668463707,0.03709781914949417,0.19697539508342743
34170_0003_A_21	0.005548449233174324,0.0610203891992569,0.07214732468128204,0.009763923473656178,0.08791101723909378,0.027069881558418274
34170_0004_A_24	0.003791685216128826,0.043761901557445526,0.08591427654027939,0.007729139178991318,0.054279081523418427,0.005874116905033588
34170_0004_A_25	0.04512718692421913,0.22773103415966034,0.030735883861780167,0.025220919400453568,0.022596262395381927,0.009270383976399899
34170_0004_A_26	0.026069823652505875,0.24847590923309326,0.07454220205545425,0.010433362796902657,0.023653339594602585,0.007798973470926285
34170_0004_A_27	0.0025183905381709337,0.05542656034231186,0.06373574584722519,0.00830871518701315,0.032498639076948166,0.005020274315029383
34170_0004_A_28	0.009996344335377216,0.04441990703344345,0.009444592520594597,0.040648289024829865,0.021035436540842056,0.016270140185952187
34170_0005_A_31	0.007649879902601242,0.1027999222278595,0.04158793017268181,0.010830031707882881,0.0160458255559206,0.0066430289298295975
34170_0005_A_33	0.004244067706167698,0.23780325055122375,0.04382147267460823,0.018131263554096222,0.029389070346951485,0.010925029404461384
34170_0005_A_35	0.013570304960012436,0.0862564742565155,0.2149076610803604,0.10886377096176147,0.04485471546649933,0.021366097033023834
34170_0004_A_29	0.011020014062523842,0.09104025363922119,0.043283894658088684,0.03032882697880268,0.03441350907087326,0.0148091409355402
34170_0005_A_34	0.011108462698757648,0.26959455013275146,0.0455467589199543,0.07028019428253174,0.01193181797862053,0.008312264457345009
34170_0005_A_36	0.007380327209830284,0.07182134687900543,0.011312974616885185,0.03179778903722763,0.019624672830104828,0.011846985667943954
34170_0005_A_32	0.006496228277683258,0.07023888826370239,0.015518313273787498,0.010649570263922215,0.01970708929002285,0.00929636787623167
34170_0007_A_42	0.010433025658130646,0.02839208021759987,0.023373547941446304,0.00996800884604454,0.00884330552071333,0.005278920754790306
34170_0007_A_43	0.0022600325755774975,0.031056813895702362,0.03569246083498001,0.0311339870095253,0.02905840426683426,0.0035071258898824453
34170_0007_A_44	0.006063100881874561,0.06601571291685104,0.049925126135349274,0.04466704651713371,0.04098484292626381,1.2081506252288818
34170_0007_A_45	0.003244028426706791,0.18254509568214417,0.34124499559402466,0.0318373441696167,0.037174541503190994,0.009990185499191284
34170_0007_A_46	0.011665181256830692,0.8236093521118164,0.07601845264434814,0.02405446395277977,0.01350959949195385,0.053586557507514954
34170_0007_A_47	0.003264828585088253,0.048312362283468246,0.024084441363811493,0.05079450458288193,0.01630885899066925,0.0063307746313512325
34170_0008_A_49	0.004672098904848099,0.020350240170955658,0.009237326681613922,0.007953282445669174,0.013422230258584023,0.003086813958361745
34170_0008_A_50	0.007845192216336727,0.03211093321442604,0.05662127584218979,0.005443031433969736,0.022957604378461838,0.0025153611786663532
34170_0008_A_51	0.006505171302706003,0.5850769281387329,0.059558115899562836,0.008619668893516064,0.006176956929266453,0.01355765201151371
34170_0009_A_54	0.004979467019438744,0.033237650990486145,0.006389225833117962,0.008777223527431488,0.01672927848994732,0.018065787851810455
34170_0009_A_56	0.005381552502512932,0.04736006259918213,0.005465172231197357,0.029098156839609146,0.02172784134745598,0.007468550466001034
34170_0009_A_58	0.004248787183314562,0.029161855578422546,0.0076896934770047665,0.00633212411776185,0.020892612636089325,0.007582549937069416
34170_0009_A_59	0.0017284194473177195,0.016598794609308243,0.032465312629938126,0.02728995308279991,0.004788445308804512,0.007647210732102394
34170_0009_A_60	0.0025633713230490685,0.331937313079834,0.03606501221656799,0.026166722178459167,0.014022408053278923,0.00818643905222416
34170_0009_A_61	0.0016328701749444008,0.15762998163700104,0.12947842478752136,0.030195292085409164,0.07637274265289307,0.030245834961533546
34170_0009_A_62	0.0037774883676320314,0.20738166570663452,0.05309894680976868,0.008900952525436878,0.01947314664721489,0.0017406060360372066
34170_0009_A_63	0.004227504599839449,0.4918867349624634,0.04969815909862518,0.012178827077150345,0.016792843118309975,0.004266967531293631
34170_0009_A_64	0.0037372468505054712,0.029374809935688972,0.010086378082633018,0.007809608243405819,0.009984859265387058,0.005369181279093027
34170_0010_A_66	0.004054767545312643,0.024558456614613533,0.029838161543011665,0.02389121800661087,0.012799839489161968,0.00473227770999074
34170_0010_A_67	0.008310683071613312,0.08056186884641647,0.05087290704250336,0.02485872060060501,0.054300107061862946,0.015986567363142967
34170_0011_A_71	0.013175396248698235,0.04443330317735672,0.040946368128061295,0.020296944305300713,0.921394944190979,0.0019646084401756525
34170_0011_A_74	0.0038119815289974213,0.02366315759718418,0.018647920340299606,0.008544238284230232,0.01891745999455452,0.008571757934987545
34170_0011_A_76	0.0125467199832201,0.13048988580703735,0.03195210546255112,0.09086915850639343,0.13646024465560913,0.014485158026218414
34170_0011_A_78	0.010417748242616653,0.08955848217010498,0.011818251572549343,0.016669588163495064,0.004653254523873329,0.0075857387855648994
34170_0011_A_80	0.03269466012716293,0.074202761054039,0.028195945546030998,0.014704454690217972,0.011148933321237564,0.005641518626362085
